PC1,PC2,PC3,label_joint,auxiliary_type
-1.9123704,1.4453835,-2.4732807,3,evans
-0.932666,2.452995,-1.7560656,3,evans
-1.0020223,2.4339976,-1.8337966,3,evans
4.4011054,-0.4303645,-2.4631224,1,evans
3.7318892,0.84287995,-2.3390894,1,evans
4.871321,1.844257,-1.9189615,1,evans
3.2451873,-0.37272945,-1.2044619,2,evans
3.3212116,-0.463861,-1.2418315,2,evans
3.207376,-0.5157231,-1.2774719,2,evans
3.209041,-0.5152776,-1.2755582,2,evans
-4.0557494,5.3292747,3.818096,2,crimmins_oxathione
-4.0835443,5.322732,3.7821832,2,crimmins_oxathione
1.1159899,2.3156204,0.07716468,3,evans
0.45428,-1.5474589,3.4751327,0,oppolzer
-2.9706786,6.361278,3.2416973,1,crimmins_thione
-5.13295,-4.495625,-2.047419,3,crimmins_oxathione
-3.6747813,2.7187924,0.22539066,2,evans
1.5207858,-3.6732275,9.792831,1,oppolzer
0.7621518,-2.641266,4.6409106,0,oppolzer
3.6578236,0.8529065,-1.5845,1,evans
3.6578236,0.8529065,-1.5845,1,evans
-5.1577244,2.1628332,2.755542,2,evans
-5.1826143,2.1157167,2.723189,2,evans
0.5804854,-2.3718593,10.265377,1,oppolzer
3.2667372,5.05324,-1.6687315,3,evans
3.5751994,-0.22897406,0.030699912,0,evans
-4.774374,-3.4608889,3.386475,3,crimmins_oxathione
-3.3374472,-2.423411,-1.9208742,3,oppolzer
1.5449004,-2.9844208,5.6704116,3,oppolzer
4.550581,3.0452688,0.6700582,0,evans
-1.2405589,0.5397669,-1.261732,3,evans
1.1455541,0.09708061,-0.9723114,0,evans
-1.8127307,0.84484047,-0.50695825,3,evans
-1.5847509,-6.603011,6.844147,2,evans
4.043902,-0.08518691,0.5571273,0,evans
4.4141684,-0.2680914,2.281593,3,evans
1.0813311,3.836945,-2.031985,2,evans
5.857357,2.4328465,-1.2439337,0,evans
5.9205203,2.4376433,-1.174028,0,evans
