class,class_id,feature,mean_abs_shap
RS (1),1,feat_no_base,0.0024892534
RS (1),1,feat_base_pKa,0.012852081
RS (1),1,feat_base_steric_A,0.006611064
RS (1),1,feat_base_nucleophilicity,0.008156946
RS (1),1,feat_metal_B,0.00085497793
RS (1),1,feat_metal_Cu,0.0
RS (1),1,feat_metal_Li,0.00033317754
RS (1),1,feat_metal_Mg,0.012008665
RS (1),1,feat_metal_Sn,0.0047519333
RS (1),1,feat_metal_Ti,0.006099058
RS (1),1,feat_metal_Zn,0.0
RS (1),1,feat_metal_Zr,0.0
RS (1),1,feat_metal_none,0.012517838
RS (1),1,feat_metal_unknown,9.844653e-05
RS (1),1,feat_metal_coord_num,0.04929281
RS (1),1,feat_metal_ionic_radius,0.04279258
RS (1),1,feat_metal_hardness,0.010803265
RS (1),1,feat_solvent_alpha,0.005289605
RS (1),1,feat_solvent_beta,0.008763752
RS (1),1,feat_solvent_pi_star,0.009631592
RS (1),1,feat_solvent_ET30,0.00910773
RS (1),1,feat_solvent_epsilon,0.009285413
RS (1),1,feat_solvent_viscosity,0.0023471112
RS (1),1,feat_solvent_bp,0.0027894867
RS (1),1,feat_solvent_known,0.00060266996
RS (1),1,feat_act_Bu2BOTf,0.011474901
RS (1),1,feat_act_Chx2BCl,0.0004847944
RS (1),1,feat_act_Ipc2BCl,0.0
RS (1),1,feat_act_9BBN_OTf,0.0
RS (1),1,feat_act_TiCl4,0.004307602
RS (1),1,feat_act_Sn_OTf2,0.0015427339
RS (1),1,feat_act_MgCl2,0.010907299
RS (1),1,feat_act_BF3_OEt2,0.0
RS (1),1,feat_act_other_activator,0.00181252
RS (1),1,feat_temperature_c,0.008078171
RS (1),1,feat_time_h,0.012431773
RS (1),1,feat_yield_pct,0.020562317
RS (1),1,feat_solvent_mw,0.01273324
RS (1),1,feat_solvent_density,0.0071695796
RS (1),1,feat_solvent_refractive_index,0.014107092
RS (1),1,feat_solvent_dipole,0.009326335
RS (1),1,feat_solvent_molar_vol,0.003753249
RS (1),1,feat_solvent_logP,0.0013719071
RS (1),1,aux_evans,0.026403671
RS (1),1,aux_crimmins_thione,0.00075354084
RS (1),1,aux_crimmins_oxathione,1.3808788e-05
RS (1),1,aux_other_auxiliary,0.004025249
RS (1),1,aux_myers,0.00025458136
RS (1),1,n_defined_stereocenters,0.004761191
RS (1),1,chiral_dominant_sign,0.0033788658
RS (1),1,chiral_primary_cip_R,0.006391985
RS (1),1,chiral_n_defined,0.00068314926
RS (1),1,chiral_sum_signs,0.0018926904
RS (1),1,chiral_aux_c4_R,0.025557585
RS (1),1,chiral_aux_c4_match,0.015296545
RS (1),1,chiral_aux_mw,0.010186257
RS (1),1,aux_rg_benzyl,0.0008149983
RS (1),1,aux_rg_isopropyl,0.00091557816
RS (1),1,aux_rg_phenyl,0.0001433192
RS (1),1,aux_rg_tert_butyl,0.0
RS (1),1,aux_rg_methyl,0.00036367087
RS (1),1,aux_rg_indanyl,0.0
RS (1),1,aux_rg_other,1.2427086e-05
RS (1),1,aux_oppolzer,0.0008519701
RS (1),1,chiralenv_ket_n_stereo_3bond,0.00017378763
RS (1),1,chiralenv_ket_n_stereo_4bond,0.0009483632
RS (1),1,chiralenv_ket_n_stereo_5bond,0.00091495324
RS (1),1,chiralenv_ket_chirality_gradient,0.005921487
RS (1),1,chiralenv_ket_nearest_chiral_sign,0.004086078
RS (1),1,chiralenv_ket_nearest_chiral_dist,0.00018345872
RS (1),1,chiralenv_ket_alpha_is_chiral,7.982148e-05
RS (1),1,chiralenv_ket_alpha_chiral_sign,1.1342593e-05
RS (1),1,chiralenv_ket_chirality_product_3bond,0.0067136413
RS (1),1,chiralenv_ket_nearest_pair_relation,0.0010384363
RS (1),1,chiralenv_ket_n_total_stereo,0.00023276976
RS (1),1,chiralenv_ket_mw,0.0067858184
RS (1),1,chiralenv_ket_n_heavy,0.006551501
RS (1),1,chiralenv_ket_frac_sp3,0.006070515
RS (1),1,chiralenv_ket_aux_ring_size,0.0037020633
RS (1),1,chiralenv_ald_n_stereo,0.0065682097
RS (1),1,chiralenv_ald_chirality_sum,0.0063462127
RS (1),1,chiralenv_ald_chirality_product,0.0085230265
RS (1),1,chiralenv_ald_mw,0.009034975
RS (1),1,chiralenv_ald_n_heavy,0.007574918
RS (1),1,chiralenv_ald_frac_sp3,0.030158538
RS (1),1,ald_pri_is_aromatic,0.032049347
RS (1),1,ald_pri_alpha_branching,0.028100997
RS (1),1,ald_pri_max_atomic_num,0.099536575
RS (1),1,ald_pri_has_halogen,0.0004884494
RS (1),1,ald_pri_has_heteroatom,0.0032255815
RS (1),1,ald_pri_n_rings,0.0013781115
RS (1),1,ald_pri_chain_length,0.012064487
RS (1),1,ald_pri_priority_proxy,0.12433029
RS (1),1,delta_chiral_0,0.060671862
RS (1),1,delta_chiral_1,0.008259688
RS (1),1,delta_chiral_2,0.0053241607
RS (1),1,delta_chiral_3,0.015515161
RS (1),1,delta_chiral_4,0.059335887
RS (1),1,delta_chiral_5,0.012684564
RS (1),1,delta_chiral_6,0.011250861
RS (1),1,delta_chiral_7,0.015390849
RS (1),1,delta_chiral_8,0.008254392
RS (1),1,delta_chiral_9,0.019856168
RS (1),1,delta_chiral_10,0.009642912
RS (1),1,delta_chiral_11,0.04925728
RS (1),1,delta_chiral_12,0.031047355
RS (1),1,delta_chiral_13,0.0049607838
RS (1),1,delta_chiral_14,0.021204298
RS (1),1,delta_chiral_15,0.0128914025
RS (1),1,chiral_det_mean,0.019997498
RS (1),1,chiral_det_max,0.016028618
RS (1),1,chiral_det_abs_sum,0.017824844
SR (2),2,B1_mean,0.0009774633
SR (2),2,B1_std,0.0051114988
SR (2),2,B5_mean,0.0021659792
SR (2),2,B5_std,0.006250775
SR (2),2,L_mean,0.003963835
SR (2),2,L_std,0.0035424128
SR (2),2,Vbur_diff_mean,0.024626067
SR (2),2,Vbur_diff_std,0.003827217
SR (2),2,Vbur_re_mean,0.006603735
SR (2),2,Vbur_re_std,0.0021000863
SR (2),2,Vbur_si_mean,0.0019374345
SR (2),2,Vbur_si_std,0.002092915
SR (2),2,Vbur_total_mean,0.012356067
SR (2),2,Vbur_total_std,0.02274232
SR (2),2,cos_tau1_mean,0.006288952
SR (2),2,cos_tau1_std,0.015253693
SR (2),2,cos_tau2_mean,0.009905392
SR (2),2,cos_tau2_std,0.010332917
SR (2),2,sin_tau1_mean,0.0047439113
SR (2),2,sin_tau1_std,0.0023611258
SR (2),2,sin_tau2_mean,0.010263648
SR (2),2,sin_tau2_std,0.004988017
SR (2),2,n_conformers,0.00050685584
SR (2),2,n_clusters,0.0004172174
SR (2),2,ald_L_mean,0.038549002
SR (2),2,ald_L_std,0.032299902
SR (2),2,ald_B1_mean,0.042191852
SR (2),2,ald_B1_std,0.022915484
SR (2),2,ald_B5_mean,0.019657947
SR (2),2,ald_B5_std,0.03096379
SR (2),2,ald_Vbur_total_mean,0.06057251
SR (2),2,ald_Vbur_total_std,0.05129773
SR (2),2,ald_n_conformers,0.030120742
SR (2),2,ald_n_clusters,0.016043793
SR (2),2,feat_DIPEA,0.008047935
SR (2),2,feat_Et3N,0.00092374865
SR (2),2,feat_LiHMDS,0.0
SR (2),2,feat_NaHMDS,0.0
SR (2),2,feat_LDA,0.0
SR (2),2,feat_KHMDS,0.0
SR (2),2,feat_other_base,0.0047760447
SR (2),2,feat_no_base,0.0036744429
SR (2),2,feat_base_pKa,0.008490245
SR (2),2,feat_base_steric_A,0.011012017
SR (2),2,feat_base_nucleophilicity,0.0031256846
SR (2),2,feat_metal_B,0.00034470193
SR (2),2,feat_metal_Cu,0.0
SR (2),2,feat_metal_Li,0.00014645835
SR (2),2,feat_metal_Mg,0.01344109
SR (2),2,feat_metal_Sn,0.007842548
SR (2),2,feat_metal_Ti,0.0047394633
SR (2),2,feat_metal_Zn,0.0
SR (2),2,feat_metal_Zr,0.0
SR (2),2,feat_metal_none,0.02285356
SR (2),2,feat_metal_unknown,0.001090998
SR (2),2,feat_metal_coord_num,0.03174328
SR (2),2,feat_metal_ionic_radius,0.024517953
