number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
33,0.6103234608048531,2026-05-28 21:56:54.317873,2026-05-28 21:56:57.937617,0 days 00:00:03.619744,0.5680894645564384,0.773753361404765,0.09077463556951396,9,2,400,0.0002270717907236876,0.3099799757270591,0.7599398820745004,COMPLETE
34,0.638578812823904,2026-05-28 21:56:57.938101,2026-05-28 21:57:04.336538,0 days 00:00:06.398437,0.4912086680360787,0.6767168791601751,0.01637016997028166,10,1,250,0.010544567718144522,0.38451147289287124,0.6851298162000706,COMPLETE
35,0.6229813302174327,2026-05-28 21:57:04.337014,2026-05-28 21:57:09.964147,0 days 00:00:05.627133,0.6213439266839369,0.7205755801544214,0.027155565727281613,10,2,250,0.014235835865706915,0.8677917408848944,0.631859430249706,COMPLETE
36,0.6211339848977118,2026-05-28 21:57:09.964633,2026-05-28 21:57:15.545432,0 days 00:00:05.580799,0.7135879580714798,0.4312331780000926,0.01748535991575344,10,3,200,0.04287895811587605,0.6674713709274314,0.5840039078662159,COMPLETE
37,0.6447852916679294,2026-05-28 21:57:15.545926,2026-05-28 21:57:19.554546,0 days 00:00:04.008620,0.5396333624432301,0.3186229562919164,0.010200373261558569,10,1,100,0.004120323464739857,0.4571134935593057,0.8714509660002907,COMPLETE
38,0.6330903963530146,2026-05-28 21:57:19.555009,2026-05-28 21:57:25.107111,0 days 00:00:05.552102,0.6082847446702506,0.22042786510889417,0.010047060774093357,10,2,150,0.005215995342007429,0.4504533939793851,0.9124501537649639,COMPLETE
39,0.621910119440889,2026-05-28 21:57:25.107637,2026-05-28 21:57:28.798500,0 days 00:00:03.690863,0.5302000964585418,0.3701843807768518,0.011887959997719843,10,3,150,5.142135497225118,0.7382806159644705,0.8643806883665507,COMPLETE
40,0.637707619916146,2026-05-28 21:57:28.799038,2026-05-28 21:57:31.386995,0 days 00:00:02.587957,0.6726072631228516,0.24051553924968422,0.016095185046825666,6,1,100,0.0066611725376877085,0.43585541712718406,0.9340798432012286,COMPLETE
41,0.6310851053195518,2026-05-28 21:57:31.387517,2026-05-28 21:57:34.208847,0 days 00:00:02.821330,0.7762208775118999,0.10271592565301324,0.016647917245068315,6,1,100,0.006328482395082755,0.4818936502368858,0.9724688542326694,COMPLETE
42,0.6404294393503376,2026-05-28 21:57:34.209379,2026-05-28 21:57:36.226242,0 days 00:00:02.016863,0.6808864660175228,0.20147014414319772,0.016729894976306475,5,2,100,0.003923895085970076,0.616498130450049,0.9166261763977559,COMPLETE
43,0.641168705502652,2026-05-28 21:57:36.226730,2026-05-28 21:57:38.409196,0 days 00:00:02.182466,0.6665835871182783,0.21784835513804085,0.015904823437808347,5,2,100,0.009000060960909126,1.0117123105555166,0.9382790431034047,COMPLETE
44,0.6266931849908437,2026-05-28 21:57:38.409653,2026-05-28 21:57:40.614474,0 days 00:00:02.204821,0.8342615082418644,0.1671875127634902,0.013647731445760293,5,2,100,0.003577390614286431,1.0810143812716304,0.9613409817826299,COMPLETE
45,0.6405949161503044,2026-05-28 21:57:40.614926,2026-05-28 21:57:43.519045,0 days 00:00:02.904119,0.7435980538602374,0.07913110759089975,0.01176200092736866,5,4,150,0.009267992056978243,1.7642281289149961,0.9334514496330215,COMPLETE
46,0.6428139787343348,2026-05-28 21:57:43.519566,2026-05-28 21:57:46.416868,0 days 00:00:02.897302,0.7321446814888142,0.08537875446019208,0.011425823631441847,5,4,150,0.0015723723389679627,1.7204554785954018,0.9278757432612242,COMPLETE
47,0.6376792790171683,2026-05-28 21:57:46.417387,2026-05-28 21:57:49.495517,0 days 00:00:03.078130,0.8195983081978095,0.00015711348814476112,0.011631718678773913,5,4,150,0.0016304262132056607,1.748953095111154,0.9989372203707874,COMPLETE
48,0.6158567499970573,2026-05-28 21:57:49.495972,2026-05-28 21:57:51.645222,0 days 00:00:02.149250,0.7261799793437627,0.08209501517980317,0.012109516866589056,5,6,100,0.0032571866685092562,4.899510577648888,0.9332373656187608,COMPLETE
49,0.6266101331274898,2026-05-28 21:57:51.645708,2026-05-28 21:57:54.572039,0 days 00:00:02.926331,0.6644648252886061,0.06390851024604817,0.010008719931631105,4,4,200,0.0024839608165375063,2.759973357599769,0.9054331079087611,COMPLETE
50,0.6229725830859635,2026-05-28 21:57:54.572496,2026-05-28 21:57:56.824882,0 days 00:00:02.252386,0.7478460324102008,0.1591022812799941,0.014180289414383684,4,7,150,0.000988460691861116,1.946957791599496,0.868982369541454,COMPLETE
51,0.6386669661596416,2026-05-28 21:57:56.825340,2026-05-28 21:58:00.522905,0 days 00:00:03.697565,0.830215548352011,0.24002310442988137,0.018232254539748985,5,3,200,0.008706580396235338,1.7675649002039815,0.9760347268953438,COMPLETE
52,0.6386143409151215,2026-05-28 21:58:00.523524,2026-05-28 21:58:02.807621,0 days 00:00:02.284097,0.6884807366442335,0.2965517774781906,0.011702455525806375,6,4,100,0.0042080941200596566,1.5824477494865898,0.9438339438454552,COMPLETE
