number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
53,0.6503561232338788,2026-05-28 11:41:10.506661,2026-05-28 11:41:16.148986,0 days 00:00:05.642325,50.0,0.7,1,14,650,COMPLETE
54,0.6453390674187489,2026-05-28 11:41:16.149371,2026-05-28 11:41:20.137487,0 days 00:00:03.988116,50.0,0.7,2,11,550,COMPLETE
55,0.6482468317529362,2026-05-28 11:41:20.137847,2026-05-28 11:41:25.690480,0 days 00:00:05.552633,30.0,0.7,1,16,800,COMPLETE
56,0.6375902465641718,2026-05-28 11:41:25.690866,2026-05-28 11:41:29.138819,0 days 00:00:03.447953,15.0,log2,1,10,600,COMPLETE
57,0.6387494663773511,2026-05-28 11:41:29.139378,2026-05-28 11:41:38.290105,0 days 00:00:09.150727,50.0,0.5,2,18,1000,COMPLETE
58,0.617821747493292,2026-05-28 11:41:38.290756,2026-05-28 11:41:41.023736,0 days 00:00:02.732980,30.0,0.7,4,13,400,COMPLETE
59,0.6414298239614068,2026-05-28 11:41:41.024129,2026-05-28 11:41:42.526987,0 days 00:00:01.502858,15.0,sqrt,1,14,250,COMPLETE
60,0.6020019229996351,2026-05-28 11:41:42.527530,2026-05-28 11:41:47.122410,0 days 00:00:04.594880,50.0,0.7,7,17,700,COMPLETE
61,0.6505780958206591,2026-05-28 11:41:47.122783,2026-05-28 11:41:52.414703,0 days 00:00:05.291920,50.0,0.7,1,15,750,COMPLETE
62,0.640818165377539,2026-05-28 11:41:52.415208,2026-05-28 11:41:57.918028,0 days 00:00:05.502820,50.0,0.7,2,15,800,COMPLETE
63,0.6479238295748868,2026-05-28 11:41:57.918419,2026-05-28 11:42:02.839826,0 days 00:00:04.921407,50.0,0.7,1,16,700,COMPLETE
64,0.6465912486061809,2026-05-28 11:42:02.840359,2026-05-28 11:42:08.773129,0 days 00:00:05.932770,,0.7,2,12,850,COMPLETE
65,0.6565024303470884,2026-05-28 11:42:08.773694,2026-05-28 11:42:13.116953,0 days 00:00:04.343259,50.0,0.3,1,13,750,COMPLETE
66,0.6401476859997737,2026-05-28 11:42:13.117353,2026-05-28 11:42:18.511919,0 days 00:00:05.394566,50.0,0.3,2,13,900,COMPLETE
67,0.6528126115233731,2026-05-28 11:42:18.512309,2026-05-28 11:42:22.803535,0 days 00:00:04.291226,20.0,0.3,1,14,650,COMPLETE
68,0.6564446219121516,2026-05-28 11:42:22.803926,2026-05-28 11:42:26.896042,0 days 00:00:04.092116,20.0,0.3,1,13,650,COMPLETE
